"","Date","Adj.Close","Volume","SMA_50","rsi","GSPC"
"2003-01-13","2003-01-13",17.552439,60817800,17.1651598,53.5976088577938,926.260009765625
"2003-01-14","2003-01-14",17.732977,54206400,17.18694866,54.1610355326106,931.659973144531
"2003-01-15","2003-01-15",17.515093,59622600,17.20730572,53.3630758097048,918.219970703125
"2003-01-16","2003-01-16",17.228724,81371000,17.2026368,52.3291208407218,914.599975585938
"2003-01-17","2003-01-17",16.017887,155876000,17.17014042,48.2920093742119,901.780029296875
"2003-01-21","2003-01-21",15.977428,86159200,17.13465594,48.1652966844895,887.619995117188
"2003-01-22","2003-01-22",15.8747,86948000,17.10346682,47.8401394897502,878.359985351562
"2003-01-23","2003-01-23",16.273129,71374800,17.08591124,49.1975491110768,887.340026855469
"2003-01-24","2003-01-24",15.516741,103027000,17.06094744,46.836372615996,861.400024414062
"2003-01-27","2003-01-27",15.30508,114838600,17.02770398,46.2031832893447,847.47998046875
"2003-01-28","2003-01-28",15.196137,86151200,16.98698996,45.8774362768053,858.539978027344
"2003-01-29","2003-01-29",15.535419,106884000,16.9429143,47.0634734914665,864.359985351562
"2003-01-30","2003-01-30",15.015603,87877400,16.89030988,45.5045037050593,844.609985351562
"2003-01-31","2003-01-31",14.772816,106858400,16.83807906,44.7972759375246,855.700012207031
"2003-02-03","2003-02-03",15.115209,80129800,16.79885926,46.0048972250599,860.320007324219
"2003-02-04","2003-02-04",14.729239,81854800,16.74096346,44.8756637483216,848.200012207031
"2003-02-05","2003-02-05",14.617177,101072000,16.67323136,44.551698197919,843.590026855469
"2003-02-06","2003-02-06",14.760361,83312000,16.6059974,45.0687512101552,838.150024414062
"2003-02-07","2003-02-07",14.498891,75208000,16.53347172,44.2990266285169,829.690002441406
"2003-02-10","2003-02-10",14.747909,74081400,16.4742062,45.2084364287758,835.969970703125
"2003-02-11","2003-02-11",14.455312,84292000,16.40174274,44.3404552141178,829.200012207031
"2003-02-12","2003-02-12",14.455312,71315200,16.33176932,44.3404552141178,818.679992675781
"2003-02-13","2003-02-13",14.626514,73558200,16.2651578,44.9839780899687,817.369995117188
"2003-02-14","2003-02-14",15.034284,90446400,16.21280264,46.4876654499858,834.890014648438
"2003-02-18","2003-02-18",15.538533,57415500,16.17159072,48.2717455719412,851.169982910156
"2003-02-19","2003-02-19",15.31994,46902700,16.13347734,47.4154254733094,845.130004882812
"2003-02-20","2003-02-20",15.076374,50897200,16.0896832,46.6495403378791,837.099975585938
"2003-02-21","2003-02-21",15.382393,56853200,16.06408682,47.7319313850086,848.169982910156
"2003-02-24","2003-02-24",15.032659,62403700,16.02850762,46.6287040076023,832.580017089844
"2003-02-25","2003-02-25",15.107598,68113000,15.99038062,46.8970808343216,838.570007324219
"2003-02-26","2003-02-26",14.745365,57096000,15.94805946,45.7621707386466,827.549987792969
"2003-02-27","2003-02-27",14.726633,75434300,15.91576,45.7037932942962,837.280029296875
"2003-02-28","2003-02-28",14.801571,56585400,15.87263318,45.9850349033583,841.150024414062
"2003-03-03","2003-03-03",14.701647,50653500,15.82825476,45.6632349556358,834.809997558594
"2003-03-04","2003-03-04",14.408117,56605700,15.78317286,44.7250813973701,821.989990234375
"2003-03-05","2003-03-05",14.639194,55415900,15.74532708,45.622518441279,829.849975585938
"2003-03-06","2003-03-06",14.533029,54607600,15.70579388,45.2778653678408,822.099975585938
"2003-03-07","2003-03-07",14.714141,66167600,15.66390658,45.9881190963118,828.890014648438
"2003-03-10","2003-03-10",14.333178,48413600,15.61552052,44.7416854732058,807.47998046875
"2003-03-11","2003-03-11",14.239487,53990700,15.56793752,44.4394586834148,800.72998046875
"2003-03-12","2003-03-12",14.607964,72379500,15.53033876,45.9060190127843,804.190002441406
"2003-03-13","2003-03-13",15.407383,80701300,15.51009798,48.8924373099347,831.900024414062
"2003-03-14","2003-03-14",15.526044,75451400,15.49876706,49.3162645368286,833.27001953125
"2003-03-17","2003-03-17",16.194298,100983800,15.48822598,51.6217206376609,862.789978027344
"2003-03-18","2003-03-18",16.262999,78108800,15.47862314,51.8514712239479,866.450012207031
"2003-03-19","2003-03-19",16.437872,73652100,15.46641692,52.4381493851988,874.02001953125
"2003-03-20","2003-03-20",16.394152,71798500,15.4469242,52.2756579996826,875.669982910156
"2003-03-21","2003-03-21",16.594007,85586800,15.4411402,52.9556716022109,895.789978027344
"2003-03-24","2003-03-24",15.794596,61105200,15.40959392,50.0451326795822,864.22998046875
"2003-03-25","2003-03-25",15.919502,63595100,15.37986114,50.4790844613907,874.739990234375
"2003-03-26","2003-03-26",15.769612,51673600,15.3442046,49.9477877050357,869.950012207031
"2003-03-27","2003-03-27",15.638458,60043300,15.30231422,49.4827798569741,868.52001953125
"2003-03-28","2003-03-28",15.407383,39584600,15.26016002,48.668172558532,863.5
"2003-03-31","2003-03-31",15.120091,71384000,15.21798736,47.6725548386914,848.179992675781
"2003-04-01","2003-04-01",15.207524,49803200,15.2017801,48.0029045096852,858.47998046875
"2003-04-02","2003-04-02",16.063143,68282500,15.2034944,51.0863515863787,880.900024414062
"2003-04-03","2003-04-03",16.069387,57394300,15.20738814,51.1079468904957,876.450012207031
"2003-04-04","2003-04-04",15.669681,55740600,15.19531918,49.6757034668297,878.849975585938
"2003-04-07","2003-04-07",15.719649,65627100,15.19937734,49.8549457407559,879.929992675781
"2003-04-08","2003-04-08",15.975707,54132100,15.21278988,50.7718920835684,878.289978027344
"2003-04-09","2003-04-09",15.344928,76875800,15.2157657,48.5407167335782,865.989990234375
"2003-04-10","2003-04-10",15.357416,51608900,15.21220564,48.5863709614832,871.580017089844
"2003-04-11","2003-04-11",15.113854,71565500,15.21417066,47.7435603640412,868.299987792969
"2003-04-14","2003-04-14",15.463583,51599600,15.227986,49.038807724459,885.22998046875
"2003-04-15","2003-04-15",15.363661,63399000,15.23295504,48.6869787483311,890.809997558594
"2003-04-16","2003-04-16",15.563519,86178700,15.24964064,49.4274538182432,879.909973144531
"2003-04-17","2003-04-17",15.925752,58356600,15.27581214,50.742106369058,893.580017089844
"2003-04-21","2003-04-21",15.744628,41557800,15.29549748,50.0779232462568,892.010009765625
"2003-04-22","2003-04-22",16.088123,58844000,15.32728212,51.3112720617049,911.369995117188
"2003-04-23","2003-04-23",16.063143,55559300,15.3535868,51.2173666145476,919.02001953125
"2003-04-24","2003-04-24",15.919502,51703600,15.3828706,50.6732552802971,911.429992675781
"2003-04-25","2003-04-25",15.750876,53657400,15.40878188,50.036505285258,898.809997558594
"2003-04-28","2003-04-28",16.075634,56287600,15.43776428,51.2406027010017,914.840026855469
"2003-04-29","2003-04-29",16.113111,65877300,15.45934082,51.3785630199623,917.840026855469
"2003-04-30","2003-04-30",15.969471,55566800,15.46795958,50.8161554249709,916.919982910156
"2003-05-01","2003-05-01",16.063143,42085800,15.48282364,51.1718494789886,916.299987792969
"2003-05-02","2003-05-02",16.300472,52695400,15.5073056,52.0679337817713,930.080017089844
"2003-05-05","2003-05-05",16.150581,50391500,15.52266936,51.4593189059872,926.549987792969
"2003-05-06","2003-05-06",16.469099,54299500,15.55139816,52.6592082706105,934.390014648438
"2003-05-07","2003-05-07",16.23177,49120000,15.5738816,51.6877781335739,929.619995117188
"2003-05-08","2003-05-08",16.075634,46401400,15.60048698,51.0554989442742,920.27001953125
"2003-05-09","2003-05-09",16.462852,58913600,15.63521136,52.5251387978432,933.409973144531
"2003-05-12","2003-05-12",16.362923,53900800,15.6664384,52.113083971617,945.109985351562
"2003-05-13","2003-05-13",16.23177,44501900,15.69704086,51.5712439185791,942.299987792969
"2003-05-14","2003-05-14",16.00069,45021000,15.72889232,50.6249159104855,939.280029296875
"2003-05-15","2003-05-15",16.106859,45450200,15.75824562,51.0460730744445,946.669982910156
"2003-05-16","2003-05-16",15.969471,60620900,15.78697446,50.4775028596999,944.299987792969
"2003-05-19","2003-05-19",15.463583,55336300,15.8019633,48.4500553874424,920.77001953125
"2003-05-20","2003-05-20",15.382393,52677600,15.8229476,48.133438012053,919.72998046875
"2003-05-21","2003-05-21",15.007672,108960900,15.8383113,46.6962948309094,923.419982910156
"2003-05-22","2003-05-22",15.088867,93157100,15.84792936,47.0458514035116,931.869995117188
"2003-05-23","2003-05-23",15.126341,76968000,15.84230852,47.2088941918273,933.219970703125
"2003-05-27","2003-05-27",15.482323,68486800,15.8414341,48.7388967912346,951.47998046875
"2003-05-28","2003-05-28",15.245,91467000,15.82244814,47.7965502796366,953.219970703125
"2003-05-29","2003-05-29",15.238754,75451300,15.80196324,47.7717472286924,949.640014648438
"2003-05-30","2003-05-30",15.369908,85096700,15.78060396,48.3461239090667,963.590026855469
"2003-06-02","2003-06-02",15.388642,66310800,15.76049376,48.4287952040714,967
"2003-06-03","2003-06-03",15.538533,61058200,15.73938428,49.09391925961,971.559997558594
"2003-06-04","2003-06-04",15.53229,83484600,15.73413816,49.0670178376198,986.239990234375
"2003-06-05","2003-06-05",15.045145,115877900,15.71665102,47.0161557362686,990.140014648438
"2003-06-06","2003-06-06",14.782845,119629400,15.69691568,45.9606484107009,987.760009765625
"2003-06-09","2003-06-09",14.832804,73610000,15.6808026,46.1954210598122,975.929992675781
"2003-06-10","2003-06-10",15.413624,80655300,15.68092742,48.8323607310072,984.840026855469
"2003-06-11","2003-06-11",15.538533,75768600,15.68929626,49.3767993214563,997.47998046875
"2003-06-12","2003-06-12",15.607229,66177700,15.69729036,49.6773092904066,998.510009765625
"2003-06-13","2003-06-13",15.39489,55157500,15.6839253,48.7643123354907,988.609985351562
"2003-06-16","2003-06-16",15.857042,69658600,15.6796784,50.7735716418669,1010.73999023438
"2003-06-17","2003-06-17",16.213037,122213900,15.69054552,52.2455263391834,1011.65997314453
"2003-06-18","2003-06-18",16.281731,89957700,15.70178716,52.5250733263545,1010.09002685547
"2003-06-19","2003-06-19",16.281731,63626900,15.70790764,52.5250733263545,994.700012207031
"2003-06-20","2003-06-20",16.444118,86048900,15.72989144,53.1993208998967,995.690002441406
"2003-06-23","2003-06-23",16.10062,52584500,15.74475552,51.6169449730764,981.640014648438
"2003-06-24","2003-06-24",16.050655,51820300,15.76349154,51.3900712444731,983.450012207031
"2003-06-25","2003-06-25",15.775861,60483500,15.7697371,50.1529119534925,975.320007324219
"2003-06-26","2003-06-26",16.081884,51758100,15.78410156,51.4802500311884,985.820007324219
"2003-06-27","2003-06-27",16.006943,76040300,15.79297004,51.1399481310476,976.219970703125
"2003-06-30","2003-06-30",16.013184,48073100,15.79471868,51.1673975513729,974.5
"2003-07-01","2003-07-01",16.331697,60926000,15.80646006,52.5545003053716,982.320007324219
"2003-07-02","2003-07-02",16.787615,94069300,15.8204499,54.4445166676428,993.75
"2003-07-03","2003-07-03",16.550283,39440900,15.8301927,53.3163712178211,985.700012207031
"2003-07-07","2003-07-07",17.124865,88960800,15.85429996,55.5897575453689,1004.41998291016
"2003-07-08","2003-07-08",17.29973,61896800,15.88527704,56.2513918802117,1007.84002685547
"2003-07-09","2003-07-09",17.156082,62300700,15.906886,55.5576085908167,1002.21002197266
"2003-07-10","2003-07-10",16.806347,55350800,15.92075072,53.9058099594683,988.700012207031
"2003-07-11","2003-07-11",17.056162,50377300,15.94248454,54.8834860227361,998.140014648438
"2003-07-14","2003-07-14",17.11237,60464400,15.96346908,55.1021272978513,1003.85998535156
"2003-07-15","2003-07-15",17.031178,53567600,15.9780832,54.7113357508987,1000.41998291016
"2003-07-16","2003-07-16",17.187313,49838900,15.99881784,55.3329732780154,994.090026855469
"2003-07-17","2003-07-17",16.668945,72805000,16.00281476,52.8742811188676,981.72998046875
"2003-07-18","2003-07-18",16.793854,63388400,16.01405644,53.3835912840123,993.320007324219
"2003-07-21","2003-07-21",16.262999,48480800,16.01780374,50.9935565176094,978.799987792969
"2003-07-22","2003-07-22",16.475344,51791000,16.01805358,51.8730193727189,988.109985351562
"2003-07-23","2003-07-23",16.519054,49828200,16.0211762,52.0537883257569,988.609985351562
"2003-07-24","2003-07-24",16.238016,53556600,16.02130112,50.8021003250645,981.599975585938
"2003-07-25","2003-07-25",16.793854,54173000,16.0371644,53.0790874763019,998.679992675781
"2003-07-28","2003-07-28",16.618984,52658300,16.0474069,52.3019951383749,996.52001953125
"2003-07-29","2003-07-29",16.531546,62391100,16.0586484,51.9142152176359,989.280029296875
"2003-07-30","2003-07-30",16.381655,41240300,16.07700984,51.2495396381225,987.489990234375
"2003-07-31","2003-07-31",16.494078,64504800,16.09924354,51.7225860647218,990.309997558594
"2003-08-01","2003-08-01",16.344187,42649700,16.12597384,51.0486467541921,980.150024414062
"2003-08-04","2003-08-04",16.350439,51825600,16.15120528,51.0757510271825,982.820007324219
"2003-08-05","2003-08-05",16.025673,58825800,16.16919192,49.6180108603946,965.460021972656
"2003-08-06","2003-08-06",16.01943,56294900,16.17993406,49.5902366527178,967.080017089844
"2003-08-07","2003-08-07",16.056898,44258500,16.19617202,49.7624007441119,974.119995117188
"2003-08-08","2003-08-08",15.975707,33241400,16.21091108,49.3894689921487,977.590026855469
"2003-08-11","2003-08-11",15.994445,36433900,16.22340182,49.4786285157341,980.590026855469
"2003-08-12","2003-08-12",16.069387,38208400,16.23701672,49.8392989582146,990.349975585938
"2003-08-13","2003-08-13",15.988205,39636900,16.24601016,49.44906006216,984.030029296875
"2003-08-14","2003-08-14",16.006943,37338300,16.25550322,49.5420904522321,990.510009765625
"2003-08-15","2003-08-15",15.950731,27607900,16.27361494,49.2645447772813,990.669982910156
"2003-08-18","2003-08-18",16.050655,45817400,16.29897114,49.7749789181228,999.739990234375
"2003-08-19","2003-08-19",16.625235,72952900,16.33481976,52.5744911655636,1002.34997558594
"2003-08-20","2003-08-20",16.519054,56739300,16.35692836,52.0276868432506,1000.29998779297
"2003-08-21","2003-08-21",16.387901,63802700,16.37391572,51.3544297683234,1003.27001953125
"2003-08-22","2003-08-22",16.375416,65846300,16.38927946,51.2899280903482,993.059997558594
"2003-08-25","2003-08-25",16.550283,36132900,16.41238732,52.148509840987,993.710021972656
"2003-08-26","2003-08-26",16.594007,47546000,16.42712662,52.3627105476977,996.72998046875
"2003-08-27","2003-08-27",16.500322,30633900,16.43287232,51.855153006485,996.789978027344
"2003-08-28","2003-08-28",16.556536,46211200,16.43836842,52.1391869559447,1002.84002685547
"2003-08-29","2003-08-29",16.562777,34503000,16.44398934,52.171179643901,1008.01000976562
"2003-09-02","2003-09-02",17.024937,74168900,16.45560572,54.4692888443166,1021.98999023438
"2003-09-03","2003-09-03",17.674456,109437800,16.48708244,57.4043775093519,1026.27001953125
