"","Date","Adj.Close","Volume","SMA_50","rsi","GSPC"
"2003-01-02","2003-01-02",0.9785,129680000,1.05915,49.4318002034568,909.030029296875
"2003-01-03","2003-01-03",1.026,175140000,1.06029,51.247981156691,908.590026855469
"2003-01-06","2003-01-06",1.035,153962000,1.06124,51.5841743714058,929.010009765625
"2003-01-07","2003-01-07",1.0775,191364000,1.06293,53.1412520342975,922.929992675781
"2003-01-08","2003-01-08",1.051,139630000,1.06465,52.0756667219002,909.929992675781
"2003-01-09","2003-01-09",1.0725,123096000,1.06751,52.8582466953085,927.570007324219
"2003-01-10","2003-01-10",1.066,151586000,1.07026,52.5933036773455,927.570007324219
"2003-01-13","2003-01-13",1.102,142426000,1.07322,53.899206829801,926.260009765625
"2003-01-14","2003-01-14",1.137,140976000,1.0766,55.1255425612088,931.659973144531
"2003-01-15","2003-01-15",1.1135,139788000,1.07907,54.1388462534252,918.219970703125
"2003-01-16","2003-01-16",1.09,158232000,1.08209,53.1677707431325,914.599975585938
"2003-01-17","2003-01-17",1.07,115724000,1.08477,52.3522858274175,901.780029296875
"2003-01-21","2003-01-21",1.054,125862000,1.08651,51.7048982312481,887.619995117188
"2003-01-22","2003-01-22",1.0585,133672000,1.08856,51.8756880083075,878.359985351562
"2003-01-23","2003-01-23",1.0895,219960000,1.09084,53.0429759578306,887.340026855469
"2003-01-24","2003-01-24",1.1055,433636000,1.09395,53.6352677765269,861.400024414062
"2003-01-27","2003-01-27",1.089,164140000,1.09591,52.9326873965486,847.47998046875
"2003-01-28","2003-01-28",1.081,159368000,1.09712,52.5918517772011,858.539978027344
"2003-01-29","2003-01-29",1.104,141138000,1.09799,53.4707885856952,864.359985351562
"2003-01-30","2003-01-30",1.091,119314000,1.0976,52.9050812208114,844.609985351562
"2003-01-31","2003-01-31",1.0925,125250000,1.09703,52.9636725209501,855.700012207031
"2003-02-03","2003-02-03",1.108,103910000,1.0979,53.5727122812188,860.320007324219
"2003-02-04","2003-02-04",1.1025,96352000,1.09705,53.3227159307658,848.200012207031
"2003-02-05","2003-02-05",1.1085,106862000,1.09582,53.5639312177305,843.590026855469
"2003-02-06","2003-02-06",1.1045,80754000,1.09392,53.376292829894,838.150024414062
"2003-02-07","2003-02-07",1.072,138858000,1.09111,51.8697999281217,829.690002441406
"2003-02-10","2003-02-10",1.07,161930000,1.08911,51.7780345562725,835.969970703125
